"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Sedimentibacter",0,0,0,1.63298632373954,0,0,0,0,0,0,0,0,0,0,0,0
"Crenothrix",1.59464200287036,0,0,2.65360277607675,0,0,0,0,0,2.69905533063428,0,0,0,1.40795494544175,0,0
"Pedomicrobium",3.02981980545368,0,0,0,0,0,0,0,0,3.59874044084571,0,0,9.03405142460042,10.2076733544527,8.46023688663284,0
"Nannocystis",1.43517780258332,0.889363215937389,0,3.26597264747908,0,0,0,0,0,4.94826810616285,0,0,0,0,0,0
"Halomonas",0.478392600861107,0,0,2.65360277607675,18.4135977337111,0,21.1800302571861,45.2554744525548,15.2990264255911,3.14889788573999,0,0,0,0,11.844331641286,0
"Blvii28",0,0,0,0,0,0,4.53857791225417,0,0,0,0,0,0,0,0,0
"Bifidobacterium",2.39196300430553,2.13447171824973,11.7955439056357,3.67421922841396,0,10.1781170483461,12.1028744326778,58.3941605839417,8.34492350486788,0,0,4928.49898580122,18.7630298818624,9.85568461809222,16.9204737732657,0
"Roseomonas",3.98660500717589,0,0,3.47009593794652,7.08215297450426,6.36132315521629,0,0,0,2.24921277552857,0,0,0,1.75994368180218,0,0
"Flavobacterium",0.797321001435178,0,0,1.63298632373954,0,0,0,0,0,0,0,0,0,0,0,16.0673297628156
"Bosea",2.2324988040185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niastella",0,0,0,0,0,0,0,17.5182481751825,0,0,22.5872689938399,0,0,0,0,0
"Mucispirillum",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,3.06044376434583
"Haemophilus",1.59464200287036,4.09107079331199,0,11.0226576852419,0,0,0,0,0,1.79937022042285,0,31.4401622718053,0,4.57585357268568,11.844331641286,0
"Devosia",7.33535321320364,15.4749199573106,0,18.9834660134721,0,0,0,0,19.4714881780251,12.1457489878543,0,5.57809330628803,0,8.09574093629004,0,9.94644223412396
"Actinospica",0,0,0,0,0,0,0,0,0,0,0,5.0709939148073,0,4.22386483632524,0,0
"Agromyces",0,0,0,7.55256174729537,0,0,0,0,0,0,0,0,0,0,0,0
"Solirubrobacter",7.33535321320364,10.6723585912487,0,9.59379465196979,0,0,0,0,0,14.3949617633828,0,9.12778904665315,0,10.9116508271735,0,0
"Bilophila",0.797321001435178,0,0,3.67421922841396,0,0,0,0,0,3.14889788573999,0,0,0,0,0,5.35577658760521
